race_date,race_id,discipline,official,v44_top7,fund_top7,v51_top7,v51_selection_set,v51_top3,hits,trio,quarte,quinte,winner,winner_top1,winner_top2,winner_top3,winner_top7,consensus_count,period
2026-07-11,R1C7_2026-07-11,ATTELE_VOLTE,11-6-9-4-7,14-11-13-9-10-1-4,1-14-8-9-4-11-13,14-11-10-13-9-1-4,9-1-11-14-13-4-10,14-11-10,3,False,False,False,11,False,True,True,True,6,DEV30
2026-07-12,R1C3_2026-07-12,PLAT,7-13-9-12-4,13-9-10-4-12-7-6,13-9-4-10-8-7-16,10-12-13-9-7-6-4,13-7-9-4-10-12-6,10-12-13,5,True,True,True,7,False,False,False,True,5,DEV30
2026-07-13,R1C8_2026-07-13,PLAT,5-8-1-16-11,4-8-5-7-16-2-1,8-16-2-6-4-7-3,4-5-16-7-8-2-1,4-16-8-7-2-5-1,4-5-16,4,True,True,False,5,False,True,True,True,5,DEV30
2026-07-14,R1C3_2026-07-14,PLAT,4-2-14-6-10,4-1-2-5-6-3-9,1-2-5-7-6-4-3,4-6-2-1-5-3-9,2-6-5-4-1-3-9,4-6-2,3,False,False,False,4,True,True,True,True,6,DEV30
2026-07-15,R1C8_2026-07-15,ATTELE_AUTOSTART,11-3-4-5-14,1-7-8-3-5-11-13,1-3-11-4-8-12-13,1-7-8-5-11-3-13,1-8-3-11-13-5-7,1-7-8,3,False,False,False,11,False,False,False,True,5,DEV30
2026-07-16,R1C8_2026-07-16,PLAT,14-5-3-10-7,5-3-2-15-7-14-6,3-6-5-4-9-12-13,5-2-14-15-6-3-7,5-3-6-14-2-15-7,5-2-14,4,True,False,False,14,False,False,True,True,3,DEV30
2026-07-17,R1C4_2026-07-17,ATTELE_VOLTE,4-6-2-13-12,4-10-6-5-8-2-3,3-2-4-10-6-5-9,10-4-6-8-2-3-5,10-4-6-5-2-3-8,10-4-6,3,True,False,False,4,False,True,True,True,6,DEV30
2026-07-18,R1C4_2026-07-18,ATTELE_AUTOSTART,13-6-1-12-4,13-12-5-1-6-2-4,5-6-1-13-2-12-3,13-12-4-6-5-2-1,13-1-2-12-6-5-4,13-12-4,5,True,True,True,13,True,True,True,True,6,DEV30
2026-07-19,R1C3_2026-07-19,PLAT,1-13-8-9-4,11-1-13-9-7-4-3,4-9-7-1-3-13-6,13-11-9-4-1-7-3,13-4-1-7-9-3-11,13-11-9,4,False,False,False,1,False,False,False,True,6,DEV30
2026-07-20,R1C8_2026-07-20,PLAT,15-11-1-13-2,1-2-3-5-11-4-15,5-1-10-2-9-4-6,15-1-2-11-5-3-4,2-1-5-4-15-3-11,15-1-2,4,True,False,False,15,True,True,True,True,4,DEV30
