race_id,hits,trio,quarte,quinte,winner1,winner2,winner3,winner7,swap,swap_delta,promote,win_delta,sel,ordered,race_ord,period,race_date,discipline,official,v44_top7,v51_top7,v51_selection_set
R1C7_2026-07-11,3,False,False,False,False,True,True,True,False,-0.5470181889171704,True,0.056891160493020676,"[14, 11, 13, 9, 10, 1, 4]","[14, 11, 10, 9, 13, 1, 4]",0,DEV30,2026-07-11,ATTELE_VOLTE,11-6-9-4-7,14-11-13-9-10-1-4,14-11-10-9-13-1-4,14-11-13-9-10-1-4
R1C3_2026-07-12,5,True,True,True,False,False,False,True,False,-0.31096171518708693,True,0.21499010801070528,"[13, 9, 10, 4, 12, 7, 6]","[13, 12, 10, 4, 9, 7, 6]",1,DEV30,2026-07-12,PLAT,7-13-9-12-4,13-9-10-4-12-7-6,13-12-10-4-9-7-6,13-9-10-4-12-7-6
R1C8_2026-07-13,4,True,True,False,False,False,True,True,False,-0.4120777643897004,True,0.25860092042452737,"[4, 8, 5, 7, 16, 2, 1]","[4, 16, 5, 7, 8, 2, 1]",2,DEV30,2026-07-13,PLAT,5-8-1-16-11,4-8-5-7-16-2-1,4-16-5-7-8-2-1,4-8-5-7-16-2-1
R1C3_2026-07-14,3,False,False,False,True,True,True,True,False,-0.036264994895205016,True,0.07197002954719811,"[4, 1, 2, 5, 6, 3, 9]","[4, 6, 2, 5, 1, 3, 9]",3,DEV30,2026-07-14,PLAT,4-2-14-6-10,4-1-2-5-6-3-9,4-6-2-5-1-3-9,4-1-2-5-6-3-9
R1C8_2026-07-15,3,False,False,False,False,False,False,True,False,-0.3282734994394526,False,-0.0754309757424938,"[1, 7, 8, 3, 5, 11, 13]","[1, 7, 8, 3, 5, 11, 13]",4,DEV30,2026-07-15,ATTELE_AUTOSTART,11-3-4-5-14,1-7-8-3-5-11-13,1-7-8-3-5-11-13,1-7-8-3-5-11-13
R1C8_2026-07-16,4,True,False,False,False,True,True,True,False,-0.17068233412143952,True,0.32189341628239854,"[5, 3, 2, 15, 7, 14, 6]","[5, 14, 2, 15, 7, 3, 6]",5,DEV30,2026-07-16,PLAT,14-5-3-10-7,5-3-2-15-7-14-6,5-14-2-15-7-3-6,5-3-2-15-7-14-6
R1C4_2026-07-17,3,True,False,False,True,True,True,True,False,-0.46773851999334465,False,-0.006033512465864588,"[4, 10, 6, 5, 8, 2, 3]","[4, 10, 6, 5, 8, 2, 3]",6,DEV30,2026-07-17,ATTELE_VOLTE,4-6-2-13-12,4-10-6-5-8-2-3,4-10-6-5-8-2-3,4-10-6-5-8-2-3
R1C4_2026-07-18,5,True,True,True,True,True,True,True,False,-0.4216055263041461,True,0.07058856368847732,"[13, 12, 5, 1, 6, 2, 4]","[13, 12, 4, 1, 6, 2, 5]",7,DEV30,2026-07-18,ATTELE_AUTOSTART,13-6-1-12-4,13-12-5-1-6-2-4,13-12-4-1-6-2-5,13-12-5-1-6-2-4
R1C3_2026-07-19,4,False,False,False,False,False,False,True,False,-0.29461074210017846,True,0.08490602826869187,"[11, 1, 13, 9, 7, 4, 3]","[11, 9, 13, 1, 7, 4, 3]",8,DEV30,2026-07-19,PLAT,1-13-8-9-4,11-1-13-9-7-4-3,11-9-13-1-7-4-3,11-1-13-9-7-4-3
R1C8_2026-07-20,4,True,False,False,False,False,True,True,False,-0.2019921177022595,True,0.616926181509047,"[1, 2, 3, 5, 11, 4, 15]","[1, 2, 15, 5, 11, 4, 3]",9,DEV30,2026-07-20,PLAT,15-11-1-13-2,1-2-3-5-11-4-15,1-2-15-5-11-4-3,1-2-3-5-11-4-15
R1C8_2026-07-21,4,False,False,False,False,False,False,True,False,-0.19388886496883823,True,0.1328866337734509,"[14, 3, 1, 4, 13, 7, 6]","[14, 13, 1, 4, 3, 7, 6]",10,DEV30,2026-07-21,PLAT,4-8-14-13-6,14-3-1-4-13-7-6,14-13-1-4-3-7-6,14-3-1-4-13-7-6
R1C8_2026-07-22,3,False,False,False,True,True,True,True,False,-0.4175693860623794,False,-0.24185872071816877,"[13, 9, 14, 1, 10, 4, 5]","[13, 9, 14, 1, 10, 4, 5]",11,DEV30,2026-07-22,ATTELE_VOLTE,13-4-6-10-8,13-9-14-1-10-4-5,13-9-14-1-10-4-5,13-9-14-1-10-4-5
R1C8_2026-07-23,3,False,False,False,False,False,False,True,False,-0.22667699278556663,True,0.3233261885435261,"[4, 6, 9, 11, 14, 10, 12]","[4, 14, 9, 11, 6, 10, 12]",12,DEV30,2026-07-23,PLAT,6-7-9-14-2,4-6-9-11-14-10-12,4-14-9-11-6-10-12,4-6-9-11-14-10-12
R1C4_2026-07-24,4,True,True,False,False,False,True,True,False,-0.05506101316900314,True,0.4012359165574204,"[2, 9, 8, 11, 7, 14, 5]","[2, 9, 11, 8, 7, 14, 5]",13,DEV30,2026-07-24,ATTELE_VOLTE,11-14-2-9-3,2-9-8-11-7-14-5,2-9-11-8-7-14-5,2-9-8-11-7-14-5
R1C4_2026-07-25,4,True,False,False,True,True,True,True,False,-0.2788348360934794,True,0.1509215332872879,"[7, 4, 5, 11, 12, 3, 1]","[7, 4, 12, 11, 5, 3, 1]",14,DEV30,2026-07-25,ATTELE_AUTOSTART,7-3-4-13-12,7-4-5-11-12-3-1,7-4-12-11-5-3-1,7-4-5-11-12-3-1
R1C3_2026-07-26,2,False,False,False,False,False,False,False,False,-0.15012308206935354,False,-0.10712200862111088,"[13, 3, 2, 4, 10, 6, 11]","[13, 3, 2, 4, 10, 6, 11]",15,DEV30,2026-07-26,PLAT,16-8-6-2-7,13-3-2-4-10-6-11,13-3-2-4-10-6-11,13-3-2-4-10-6-11
R1C5_2026-07-27,3,False,False,False,True,True,True,True,False,-0.07086809841711661,True,0.09293494840240313,"[12, 4, 15, 9, 7, 8, 6]","[12, 4, 7, 9, 15, 8, 6]",16,DEV30,2026-07-27,STEEPLECHASE,12-13-7-4-1,12-4-15-9-7-8-6,12-4-7-9-15-8-6,12-4-15-9-7-8-6
R1C8_2026-07-28,3,False,False,False,False,False,True,True,True,0.02382376000539027,True,0.06940282024833008,"[7, 1, 13, 3, 5, 6, 2]","[7, 5, 13, 3, 1, 6, 2]",17,DEV30,2026-07-28,PLAT,13-8-7-5-4,7-1-13-3-5-8-2,7-5-13-3-1-6-2,7-1-13-3-5-6-2
R1C1_2026-07-29,3,False,False,False,True,True,True,True,False,-0.48075084246741984,True,0.24142572324321415,"[9, 13, 4, 11, 14, 16, 5]","[9, 13, 14, 11, 4, 16, 5]",18,DEV30,2026-07-29,ATTELE_VOLTE,9-13-2-14-8,9-13-4-11-14-16-5,9-13-14-11-4-16-5,9-13-4-11-14-16-5
R1C7_2026-07-30,3,True,False,False,False,False,True,True,False,-0.10066013457595258,True,0.5196871928496842,"[14, 2, 7, 9, 10, 12, 1]","[14, 2, 10, 9, 7, 12, 1]",19,DEV30,2026-07-30,PLAT,10-14-12-3-16,14-2-7-9-10-12-1,14-2-10-9-7-12-1,14-2-7-9-10-12-1
R1C4_2026-07-31,2,False,False,False,False,False,False,True,False,-0.05697069364463536,True,0.19328382215115275,"[12, 13, 3, 7, 5, 14, 6]","[12, 13, 5, 7, 3, 14, 6]",20,DEV30,2026-07-31,ATTELE_VOLTE,3-4-2-5-8,12-13-3-7-5-14-6,12-13-5-7-3-14-6,12-13-3-7-5-14-6
R1C3_2026-08-01,4,True,True,False,False,False,True,True,False,-0.1370899167385319,True,0.13761092637895916,"[1, 11, 7, 13, 4, 3, 2]","[4, 11, 7, 13, 1, 3, 2]",21,DEV30,2026-08-01,PLAT,7-11-2-13-14,1-11-7-13-4-3-2,4-11-7-13-1-3-2,1-11-7-13-4-3-2
R1C3_2026-08-02,3,False,False,False,False,False,True,True,False,-0.22269754995450713,True,0.2789211963926872,"[2, 18, 13, 5, 16, 4, 1]","[2, 18, 16, 5, 13, 4, 1]",22,DEV30,2026-08-02,PLAT,16-10-3-5-1,2-18-13-5-16-4-1,2-18-16-5-13-4-1,2-18-13-5-16-4-1
R1C8_2026-08-03,5,True,True,True,False,True,True,True,False,-0.12791479395975663,True,0.23157909186738845,"[7, 1, 15, 2, 10, 8, 6]","[7, 2, 15, 1, 10, 8, 6]",23,DEV30,2026-08-03,PLAT,2-8-1-15-6,7-1-15-2-10-8-6,7-2-15-1-10-8-6,7-1-15-2-10-8-6
R1C8_2026-08-04,3,False,False,False,False,True,True,True,False,-0.17495368056377508,True,0.058856232353643234,"[3, 4, 2, 8, 1, 12, 14]","[14, 4, 2, 8, 1, 12, 3]",24,DEV30,2026-08-04,PLAT,4-3-6-1-9,3-4-2-8-1-12-14,14-4-2-8-1-12-3,3-4-2-8-1-12-14
R1C5_2026-08-05,5,True,True,True,False,False,True,True,False,-0.3624150668915844,True,0.22636426308261398,"[6, 3, 14, 4, 5, 12, 8]","[6, 3, 5, 4, 14, 12, 8]",25,DEV30,2026-08-05,ATTELE_VOLTE,5-3-12-4-8,6-3-14-4-5-12-8,6-3-5-4-14-12-8,6-3-14-4-5-12-8
R1C8_2026-08-06,3,True,False,False,False,False,True,True,False,-0.3966606030500115,True,0.3951716597422765,"[14, 5, 7, 3, 9, 11, 4]","[14, 5, 11, 3, 9, 7, 4]",26,DEV30,2026-08-06,ATTELE_VOLTE,11-5-4-1-2,14-5-7-3-9-11-4,14-5-11-3-9-7-4,14-5-7-3-9-11-4
R1C4_2026-08-07,3,True,False,False,False,False,False,True,False,-0.14875235090716477,True,0.13739010480584513,"[9, 15, 7, 14, 6, 12, 1]","[9, 15, 12, 14, 6, 7, 1]",27,DEV30,2026-08-07,ATTELE_VOLTE,7-15-14-3-8,9-15-7-14-6-12-1,9-15-12-14-6-7-1,9-15-7-14-6-12-1
R1C3_2026-08-08,3,False,False,False,False,False,False,False,True,0.16040094226450607,True,0.4674922921147023,"[4, 15, 13, 1, 6, 8, 9]","[4, 6, 13, 1, 15, 8, 9]",28,DEV30,2026-08-08,PLAT,3-9-12-15-6,4-5-13-1-6-8-9,4-6-13-1-15-8-9,4-15-13-1-6-8-9
R1C3_2026-08-09,2,False,False,False,False,True,True,True,False,-0.1500647632785323,False,-0.08493612045198984,"[3, 11, 6, 10, 4, 7, 9]","[3, 11, 6, 10, 4, 7, 9]",29,DEV30,2026-08-09,PLAT,11-13-18-3-1,3-11-6-10-4-7-9,3-11-6-10-4-7-9,3-11-6-10-4-7-9
R1C5_2026-08-10,4,True,True,False,False,False,False,True,False,-0.010833354148153507,False,-0.060833908743690324,"[2, 11, 5, 4, 12, 6, 8]","[2, 11, 5, 4, 12, 6, 8]",30,HOLDOUT28,2026-08-10,PLAT,4-11-2-8-16,2-11-5-4-12-6-8,2-11-5-4-12-6-8,2-11-5-4-12-6-8
R1C8_2026-08-11,4,True,True,False,True,True,True,True,False,-0.29648259172273617,True,0.33547240661620986,"[3, 4, 7, 9, 2, 10, 1]","[3, 4, 10, 9, 2, 7, 1]",31,HOLDOUT28,2026-08-11,PLAT,3-10-4-7-8,3-4-7-9-2-10-1,3-4-10-9-2-7-1,3-4-7-9-2-10-1
